Date,Open,High,Low,Close,Adj Close,Volume
24/09/2001,0.29,0.3,0.28,0.29,0.25,294537600
25/09/2001,0.29,0.29,0.27,0.28,0.24,374404800
26/09/2001,0.28,0.28,0.27,0.27,0.23,493796800
27/09/2001,0.27,0.28,0.27,0.28,0.24,322240800
28/09/2001,0.28,0.28,0.27,0.28,0.24,365108800
01/10/2001,0.28,0.29,0.27,0.28,0.24,208208000
02/10/2001,0.28,0.28,0.27,0.27,0.23,235883200
03/10/2001,0.27,0.27,0.26,0.27,0.23,683043200
04/10/2001,0.27,0.29,0.27,0.28,0.24,401122400
05/10/2001,0.28,0.29,0.27,0.29,0.25,342686400
08/10/2001,0.28,0.29,0.28,0.29,0.25,207984000
09/10/2001,0.29,0.29,0.28,0.29,0.25,174025600
10/10/2001,0.29,0.3,0.28,0.3,0.26,307759200
11/10/2001,0.3,0.32,0.3,0.32,0.27,334163200
12/10/2001,0.31,0.32,0.3,0.32,0.28,287812000
15/10/2001,0.32,0.33,0.32,0.32,0.28,318752000
16/10/2001,0.32,0.33,0.32,0.32,0.28,202949600
17/10/2001,0.33,0.33,0.3,0.3,0.26,285538400
18/10/2001,0.31,0.33,0.31,0.32,0.28,612572800
19/10/2001,0.32,0.33,0.32,0.33,0.28,166790400
22/10/2001,0.33,0.34,0.32,0.34,0.29,391938400
23/10/2001,0.34,0.35,0.32,0.32,0.28,684980800
24/10/2001,0.32,0.34,0.32,0.34,0.29,374427200
25/10/2001,0.33,0.34,0.32,0.34,0.3,254951200
26/10/2001,0.34,0.34,0.33,0.33,0.29,278964000
29/10/2001,0.33,0.33,0.31,0.31,0.27,239181600
30/10/2001,0.31,0.32,0.3,0.31,0.27,276763200
31/10/2001,0.32,0.33,0.31,0.31,0.27,273750400
01/11/2001,0.32,0.34,0.31,0.33,0.29,312995200
02/11/2001,0.33,0.34,0.32,0.33,0.29,197204000
05/11/2001,0.34,0.34,0.33,0.34,0.29,235793600
06/11/2001,0.34,0.35,0.33,0.35,0.3,316019200
07/11/2001,0.35,0.36,0.35,0.35,0.3,382989600
08/11/2001,0.35,0.36,0.33,0.33,0.29,342143200
09/11/2001,0.33,0.34,0.33,0.33,0.29,134293600
12/11/2001,0.33,0.34,0.32,0.33,0.29,201499200
13/11/2001,0.34,0.35,0.33,0.35,0.3,224672000
14/11/2001,0.35,0.36,0.34,0.35,0.3,221149600
15/11/2001,0.35,0.36,0.34,0.35,0.3,213029600
16/11/2001,0.34,0.34,0.33,0.34,0.29,230664000
19/11/2001,0.34,0.36,0.34,0.36,0.31,332589600
20/11/2001,0.35,0.36,0.35,0.35,0.3,276584000
21/11/2001,0.35,0.35,0.34,0.35,0.3,201583200
23/11/2001,0.35,0.36,0.35,0.35,0.31,60004000
